,file,parsed,entities,labels,position_start,position_end,has_terms
PMC7599108,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7599108\sections\1_body\1_methods_design\9_statistical_analysis\1_p.xml,"The changes of ACFs number in each group, the primary endpoint, will be compared between the aspirin plus placebo group and the aspirin plus metformin group by the Student 
 ","[changes, ACFs, group, primary endpoint, aspirin, placebo, group, aspirin, metformin, group, Student 
 ]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 15, 35, 46, 93, 106, 114, 128, 141, 151, 164]","[11, 19, 40, 62, 100, 113, 119, 135, 150, 156, 174]",False
PMC7602352,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7602352\sections\1_body\5_ethics_and_dissemination\2_confidentiality\1_p.xml,"Only the Principal investigator and study coordinators will have access to the research data. At the completion of the study, participant identifiers will be removed from stored data and anonymized. Re-identification of participants will be kept by a 3rd party person not involved in the study project. The participants’ name will not be used in any public report of the study.","[Principal investigator, study, coordinators, research, data, completion, study, participant, identifiers, stored, data, anonymized, Re-identification, participants, 3rd party, person, study, project, participants, public report, study]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[9, 36, 42, 79, 88, 101, 119, 126, 138, 171, 178, 187, 199, 220, 251, 261, 288, 294, 307, 350, 371]","[31, 41, 54, 87, 92, 111, 124, 137, 149, 177, 182, 197, 216, 232, 260, 267, 293, 301, 319, 363, 376]",False
PMC7667753,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7667753\sections\1_body\2_results\3_impact_of_vaccination_on_\1_p.xml,"15 women (vaccine, 
 ","[women, vaccine]","['ENTITY', 'ENTITY']","[3, 10]","[8, 17]",False
PMC7705564,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7705564\sections\1_body\3_discussion\2_ethics_approval\1_p.xml,This study was approved by the Clinical Research Review Boards of Saitama Medical University (approved number 192002) for all institutes.,"[study, Clinical Research Review, Boards, Saitama Medical University, institutes]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[5, 31, 56, 66, 126]","[10, 55, 62, 92, 136]",False
PMC7717794,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7717794\sections\1_body\5_author_contributions\9_p.xml,"
 ",[],[],[],[],False
PMC7718682,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7718682\sections\1_body\2_ethics_and_dissemination\5_publications_planned\1_design_articles\1_p.xml,“Intra-professional interactions: findings from interprofessional case-based learning in childhood cancer”.,"[Intra-professional interactions, findings, interprofessional, case-based learning, childhood cancer]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[1, 34, 48, 66, 89]","[32, 42, 65, 85, 105]",False
PMC7738016,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7738016\sections\1_body\3_author_contributions\9_p.xml,"
 ",[],[],[],[],False
PMC7738079,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7738079\sections\1_body\6_author_contributions\9_p.xml,"
 ",[],[],[],[],False
PMC7748172,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7748172\sections\1_body\5_author_contributions\1_p.xml,"
 ",[],[],[],[],False
PMC7753290,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7753290\sections\1_body\9_effect_on_data_analysis_a\1_p.xml,"Although all patients completed the randomised component of trial treatment by 29 February 2020, delays and alterations to maintenance therapy may not have affected the two arms equally. PIs may be potentially biased to alter treatment based on local COVID‐19 clusters and patients’ favourable MM response. Therefore, sensitivity analyses will be performed with and without the inclusion of affected patients to assess the significance of the measures taken on patient outcomes. Secondary outcomes will also be assessed as originally intended in both pre‐ and post‐COVID‐19 scenarios.","[patients, randomised component, trial, treatment, delays, alterations, maintenance therapy, affected, PIs, alter, treatment, local COVID‐19 clusters, patients, MM, response, sensitivity analyses, inclusion, affected, patients, assess, significance, measures, patient, outcomes, Secondary outcomes, assessed, pre‐, scenarios]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[13, 36, 60, 66, 97, 108, 123, 156, 187, 220, 226, 245, 273, 294, 297, 318, 378, 391, 400, 412, 423, 443, 461, 469, 479, 511, 551, 574]","[21, 56, 65, 75, 103, 119, 142, 164, 190, 225, 235, 268, 281, 296, 305, 338, 387, 399, 408, 418, 435, 451, 468, 477, 497, 519, 555, 583]",False
PMC7802165,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7802165\sections\1_body\1_methods_design\9_sample_size\1_p.xml,"In this trial, the patients will be hierarchically grouped by a network multicenter central stochastic system. The subjects will be randomized by the system after screening. This study uses DFS as the main evaluation index. According to the CLASSIC study, the 3-year DFS rates of patients with IIIA and IIIB gastric adenocarcinoma who received XELOX regimen are 66 and 61%, respectively [
 ","[trial, patients, grouped, network multicenter, subjects, randomized, system, screening, study, DFS, evaluation index, CLASSIC, study, DFS, rates, patients, IIIA, IIIB gastric adenocarcinoma, XELOX, regimen]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[8, 19, 51, 64, 115, 132, 150, 163, 179, 190, 206, 241, 249, 267, 271, 280, 294, 303, 344, 350]","[13, 27, 58, 83, 123, 142, 156, 172, 184, 193, 222, 248, 254, 270, 276, 288, 298, 330, 349, 357]",False
PMC7811182,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7811182\sections\1_body\3_discussion\3_limitations\1_p.xml,"Our study has a few limitations. Our findings must be interpreted in the context of the trial design. As a pilot study, analyses are limited by the small cohort size that established feasibility. Moreover, our methodology was entirely dependent on advanced breast MRI imaging approaches; extrapolation of our results to other imaging modalities must be made with caution.","[study, limitations, findings, interpreted, context, trial, design, pilot study, analyses, small, cohort size, feasibility, methodology, advanced breast MRI imaging, extrapolation, results, imaging, modalities, caution]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 20, 37, 54, 73, 88, 94, 107, 120, 148, 154, 183, 210, 248, 288, 309, 326, 334, 363]","[9, 31, 45, 65, 80, 93, 100, 118, 128, 153, 165, 194, 221, 275, 301, 316, 333, 344, 370]",False
PMC7836185,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7836185\sections\1_body\1_methods\7_outcomes\1_primary_and_secondary_out\1_p.xml,"The primary outcome of the study is percentage change in cervical cancer screening uptake from baseline to follow-up in the intervention group compared to the control group in a 12-month home-based health education intervention. The baseline survey will be conducted before the cluster randomization, and a follow-up survey of similar method will be conducted after 12-month intervention. The response of each participant for cervical cancer screening in the baseline survey and the follow-up survey will be compared to evaluate the percentage. In addition, FCHV will provide a referral slip to the participants in the intervention group (keeping a copy of the referral slip to submit to the field supervisor) during the home visit, which they take with them and submit to the health facility for VIA screening. The referral slip contains study code, name, age, address, and signature of both FCHV and the participant. FCHV will inform the participants about the health facility where the services are freely available. The key health personnel providing the VIA screening services are oriented about the study. Furthermore, confidentiality about the participants’ information will be maintained throughout the intervention. The field supervisor will collect the referral slip to confirm that the participants have received VIA screening and results from all the health facilities of the intervention ward as a reference to the participants’ response.","[primary outcome, study, cervical cancer, screening, baseline, follow-up, intervention, control group, 12-month, home-based, baseline survey, cluster randomization, follow-up, survey, method, 12-month, intervention, response, participant, cervical cancer, screening, baseline survey, follow-up survey, evaluate, percentage, FCHV, referral slip, participants, intervention group, keeping, copy of, referral slip, submit, field supervisor, home visit, submit, health facility, VIA, screening, referral slip, study, code, name, age, address, signature, FCHV, participant, FCHV, participants, health facility, services, health personnel, VIA screening services, study, confidentiality, participants, information, maintained, intervention, field supervisor, referral slip, confirm, participants, VIA, screening, results, health facilities, intervention ward, participants, response]","['ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY', 'ENTITY']","[4, 27, 57, 73, 95, 107, 124, 159, 178, 187, 233, 278, 307, 317, 335, 366, 375, 393, 410, 426, 442, 459, 483, 520, 533, 558, 578, 599, 619, 639, 649, 661, 678, 692, 721, 763, 777, 797, 801, 816, 839, 845, 851, 857, 862, 875, 893, 906, 919, 940, 963, 989, 1028, 1059, 1105, 1125, 1151, 1165, 1185, 1211, 1229, 1263, 1280, 1297, 1324, 1328, 1342, 1363, 1388, 1428, 1442]","[19, 32, 72, 82, 103, 116, 136, 172, 186, 197, 248, 299, 316, 323, 341, 374, 387, 401, 421, 441, 451, 474, 499, 528, 543, 562, 591, 611, 637, 646, 656, 674, 684, 708, 731, 769, 792, 800, 810, 829, 844, 849, 855, 860, 869, 884, 897, 917, 923, 952, 978, 997, 1044, 1081, 1110, 1140, 1163, 1176, 1195, 1223, 1245, 1276, 1287, 1309, 1327, 1337, 1349, 1380, 1405, 1440, 1450]",False
PMC7844712,C:\Users\shweata\dictionary\ethics_statement_project\e_cancer_clinical_trial_50\PMC7844712\sections\2_back\1_supplementary_material\1_p.xml,empty,[empty],['ENTITY'],[0],[5],False
