,file,parsed,entities,labels,position_start,position_end,has_terms
PMC7906226,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7906226\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of the Affiliated Hospital of Qingdao University School of Medicine. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,"[Ethics Committee, the Affiliated Hospital of Qingdao University School of Medicine]","['ORG', 'ORG']","[71, 91]","[87, 155]",False
PMC7940375,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7940375\sections\1_body\4_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Second affiliated hospital, school of medicine, zhejiang university. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.",[Second],['ORDINAL'],[71],[77],False
PMC7947343,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7947343\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Ethics Board of Central China Normal University. The patients/participants provided their written informed consent to participate in this study.,[the Ethics Board of Central China Normal University],['ORG'],[71],[122],False
PMC7959173,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7959173\sections\1_body\4_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. The patients/participants provided their written informed consent to participate in this study.,[],[],[],[],False
PMC7969973,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7969973\sections\1_body\4_ethics_statement\1_p.xml,Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],False
PMC7982648,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7982648\sections\1_body\4_ethics_statement\1_p.xml,Authors obtained written informed consent from the patient's parents for the publication. Written informed consent was obtained from the minor(s)' legal guardian/next of kin for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],False
PMC7987664,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7987664\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by the Institutional Review Board for Human Studies of Second Affiliated Hospital of Zhejiang University School of Medicine (Hangzhou, China). The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.","[the Institutional Review Board for Human Studies, Zhejiang University School of Medicine, Hangzhou, China]","['ORG', 'ORG', 'GPE', 'GPE']","[71, 153, 193, 203]","[119, 191, 201, 208]",False
PMC7994513,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7994513\sections\1_body\5_ethics_statement\1_p.xml,"This study was approved by the ethics committee of the West China Hospital, Sichuan University, and written informed consent was provided by the patient for publication of this case publication.","[the West China Hospital, Sichuan University]","['ORG', 'ORG']","[51, 76]","[74, 94]",False
PMC8005519,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8005519\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Kantonale Ethikkommission Kanton Bern. Written informed consent to participate in this study was provided by the participants' legal guardian/next of kin.,[Kantonale Ethikkommission Kanton Bern],['ORG'],[71],[108],False
PMC8011658,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8011658\sections\1_body\5_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],False
PMC8012510,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8012510\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Ethics Committee at the Institute of Psychology, Pedagogical University of Kraków. Written informed consent to participate in this study was provided by the participants' legal guardian/next of kin.","[Ethics Committee, the Institute of Psychology, Pedagogical University of Kraków]","['ORG', 'ORG']","[71, 91]","[87, 152]",False
PMC8017196,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8017196\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Medical Ethics Committee of Xianyang Caihong Hospital. Written informed consent from the participants' legal guardian/next of kin was not required to participate in this study in accordance with the national legislation and the institutional requirements.,[the Medical Ethics Committee],['ORG'],[71],[99],False
PMC8019914,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8019914\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Ethics Committee of the Zhejiang Cancer Hospital. Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional requirements.,"[the Ethics Committee of, the Zhejiang Cancer Hospital]","['ORG', 'ORG']","[71, 95]","[94, 123]",False
PMC8020902,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8020902\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the ethics committee of the Affiliated Hospital of Xuzhou Medical University. The patients/participants provided their written informed consent to participate in this study.,"[the Affiliated Hospital of, Xuzhou Medical University]","['ORG', 'ORG']","[95, 122]","[121, 147]",False
PMC8023327,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8023327\sections\1_body\4_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the ethics committee of the General Hospital of Central Theater Command. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,[the General Hospital of Central Theater Command],['ORG'],[95],[142],False
PMC8027102,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8027102\sections\1_body\4_ethics_statement\1_p.xml,Written informed consent was obtained from the patient for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],False
PMC8027481,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8027481\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of the Fourth Affiliated Hospital of Harbin Medical University. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,"[Ethics Committee, the Fourth Affiliated Hospital, Harbin Medical University]","['ORG', 'FAC', 'ORG']","[71, 91, 125]","[87, 121, 150]",False
PMC8032858,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8032858\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Bahrain National Covid-19 Taskforce Ethics Committee. The patients/participants provided their written informed consent to participate in this study.,"[Bahrain National, Taskforce Ethics Committee]","['ORG', 'ORG']","[71, 97]","[87, 123]",False
PMC8033151,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8033151\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of Inner Mongolia Xing'an Meng People's Hospital. The patients/participants provided their written informed consent to participate in this study.,"[Ethics Committee, People's Hospital]","['ORG', 'ORG']","[71, 119]","[87, 136]",False
PMC8042130,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8042130\sections\1_body\3_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Medical Ethics Committee of The First Affiliated Hospital of Soochow University. The patients/participants provided their written informed consent to participate in this study.,[Medical Ethics Committee],['ORG'],[71],[95],False
PMC8044422,C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8044422\sections\1_body\6_ethics_statement\1_p.xml,The ethics for this study was reviewed and approved by Tallaght University Hospital & St James's Hospital joint research ethics committee (2019-09 List 35(01)). Written informed consent to participate in this study was provided by the participants' legal guardian/next of kin.,"[Tallaght University Hospital & St, 2019-09]","['ORG', 'DATE']","[55, 139]","[88, 146]",False
